id x y phenotype1 envi phenotype2 
0 0.575877 0.825049 -0.779449 0.886128 -0.779449
1 0.453735 0.541486 1.0297 0.656269 1.0297
2 0.329485 0.165773 1.0112 0.617145 1.0112
3 0.424436 0.190325 -0.100464 0.936738 -0.100464
4 0.436292 0.198832 -0.44977 0.984125 -0.44977
5 0.975043 0.463939 -1.19276 -1.25988 -1.19276
6 0.0678446 0.151322 1.30186 -0.355231 1.30186
7 0.959556 0.384709 0.641281 -0.683539 0.641281
8 0.877001 0.528665 1.02324 -0.716735 1.02324
9 0.425645 0.218209 0.659127 0.984727 0.659127
10 0.344664 0.896015 0.366969 0.537555 0.366969
11 0.544429 0.012211 1.13849 0.69558 1.13849
12 0.97329 0.40361 1.3194 -0.857498 1.3194
13 0.685624 0.559533 0.883009 0.361192 0.883009
14 0.554933 0.827551 -0.133771 0.974513 -0.133771
15 0.202596 0.269315 -0.0578467 0.402978 -0.0578467
16 0.904048 0.270314 -0.457335 0.0223744 -0.457335
17 0.980674 0.38842 1.04791 -0.787318 1.04791
18 0.964521 0.46869 -0.905496 -1.22448 -0.905496
19 0.713016 0.215114 0.612842 0.172403 0.612842
20 0.425553 0.192498 1.08411 0.943421 1.08411
21 0.679296 0.566016 1.32816 0.38611 1.32816
22 0.0767487 0.168131 0.108938 -0.236528 0.108938
23 0.354386 0.0119331 -0.354442 0.410783 -0.354442
24 0.00392878 0.281856 0.574532 -0.0282751 0.574532
25 0.908421 0.31055 0.854451 -0.15936 0.854451
26 0.104556 0.00926587 -0.278474 -0.858785 -0.278474
27 0.360189 0.0104844 0.0191029 0.428098 0.0191029
28 0.141467 0.453326 -1.29286 -0.145637 -1.29286
29 0.960276 0.462611 -0.795696 -1.16064 -0.795696
30 0.114855 0.0164919 -0.226495 -0.763045 -0.226495
31 0.686655 0.557813 0.953876 0.356657 0.953876
32 0.0666074 0.139387 1.3848 -0.421782 1.3848
33 0.98886 0.676984 0.330256 -0.894529 0.330256
34 0.956473 0.463107 -0.355381 -1.14028 -0.355381
35 0.972079 0.465636 -1.19559 -1.25254 -1.19559
36 0.350363 0.885778 0.669361 0.507755 0.669361
37 0.572531 0.30217 -0.276553 0.832595 -0.276553
