position selCoef originGen type freq
3085 -0.2183 5825 m2 0.003
6027 0.101979 5999 m2 0.0005
6085 -0.185162 5729 m2 0.0155
6241 0.224879 3 m2 0.011
6449 0.14721 3028 m2 0.945
7662 0.0741204 5500 m2 0.128
8594 0.0688251 5768 m2 0.151
9821 -0.0195129 5997 m2 0.0005
11549 0.0934373 5226 m2 0.2805
13463 0.170862 5979 m2 0.015
13520 -0.0930745 4230 m2 0.464
16781 0.00174861 4593 m2 0.532
17299 0.00788522 4406 m2 0.2145
17769 -0.0888935 5932 m2 0.0205
18809 -0.0488218 2704 m2 0.041
21925 0.010293 5999 m2 0.0005
23648 -0.0223169 6000 m2 0.0005
24128 -0.00132823 2834 m2 0.249
26037 -0.00423748 5499 m2 0.1995
28696 0.0847808 5833 m2 0.039
28749 0.000782011 5990 m2 0.0065
29932 -0.0202513 5897 m2 0.001
30537 0.0177967 5545 m2 0.0055
31588 -0.103905 5623 m2 0.096
32490 0.000501647 5879 m2 0.0195
37994 -0.138573 5937 m2 0.0285
38156 -0.0337415 5917 m2 0.0245
38190 -0.00880929 4986 m2 0.5305
39727 -0.0557638 6000 m2 0.0005
44080 -0.0545612 5986 m2 0.0035
44738 -0.0180531 5860 m2 0.092
49313 -0.0741284 5962 m2 0.0015
100688 0.0402441 5991 m2 0.0005
101069 0.0888818 5999 m2 0.0005
101130 0.186226 5899 m2 0.015
101265 0.245384 5993 m2 0.0065
102194 0.0414156 5968 m2 0.034
104550 0.112636 5628 m2 0.0065
104557 0.0250171 6000 m2 0.0005
106189 -0.0315087 5629 m2 0.1155
106274 -0.0354736 6000 m2 0.0005
106342 0.153321 5701 m2 0.051
107609 -0.109251 5653 m2 0.1605
108826 -0.144942 5743 m2 0.0275
112563 -0.163344 6000 m2 0.0005
112766 -0.0706304 5963 m2 0.023
113781 -0.200512 5627 m2 0.0075
114423 0.107594 5993 m2 0.002
116640 0.0214236 5990 m2 0.0135
116648 -0.0329696 5999 m2 0.0015
116974 -0.100098 5208 m2 0.0225
118474 -0.0429892 5996 m2 0.002
118530 -0.169267 5955 m2 0.0065
119536 -0.0617758 6000 m2 0.0005
119782 -0.141672 5995 m2 0.001
120658 0.0706382 5645 m2 0.3025
121271 0.0974143 5993 m2 0.0005
121328 -0.0745737 5107 m2 0.3295
123029 0.0913992 5997 m2 0.001
124260 0.0388346 5999 m2 0.001
126591 -0.0419019 6000 m2 0.0005
127310 -0.0615496 5808 m2 0.048
128174 -0.00126337 5946 m2 0.0045
128617 0.183866 5984 m2 0.0045
129062 -0.0199638 5982 m2 0.004
129137 0.0260466 5987 m2 0.0005
129988 0.0237416 1763 m2 0.3545
131182 0.109224 4265 m2 0.2695
132030 0.0072779 5879 m2 0.073
133702 0.025108 5985 m2 0.0045
134508 0.12302 3835 m2 0.42
135241 0.0390616 3350 m2 0.4475
137381 0.0790104 5853 m2 0.1805
139129 -0.214454 5988 m2 0.0005
139691 0.130643 5936 m2 0.0015
140691 0.104073 5943 m2 0.004
144385 0.103435 5993 m2 0.006
148466 0.0424683 5305 m2 0.001
200036 -0.132246 5334 m2 0.085
200364 -0.157016 5364 m2 0.103
202291 0.245901 5990 m2 0.003
202582 -0.0359563 5886 m2 0.025
206578 -0.0185353 5992 m2 0.0025
206597 0.124728 5982 m2 0.0075
207784 -0.0372933 5753 m2 0.147
207834 0.164323 5995 m2 0.0005
208114 0.120716 4793 m2 0.1515
209109 -0.160284 5836 m2 0.0115
210460 0.0393499 6000 m2 0.0005
212082 0.0576824 5991 m2 0.0015
212251 -0.18608 5907 m2 0.008
212523 -0.117829 5974 m2 0.004
212608 0.0830828 5999 m2 0.0005
213083 -0.018793 5935 m2 0.0035
214224 -0.00977038 5330 m2 0.115
214292 0.00787124 3855 m2 0.2095
214558 -0.0328306 5887 m2 0.018
217628 -0.0690752 5996 m2 0.002
220122 0.0479527 5189 m2 0.175
221411 -0.157313 6000 m2 0.0005
224726 0.134564 5952 m2 0.015
225676 0.209336 5649 m2 0.23
225978 0.0706059 5802 m2 0.0975
226107 -0.0917332 5707 m2 0.1505
227087 -0.0367943 5365 m2 0.0125
230164 0.0383021 5933 m2 0.0095
230195 -0.0205368 5985 m2 0.0085
230498 -0.0131422 6000 m2 0.0005
231134 0.0743586 5997 m2 0.0025
231398 -0.0779228 5978 m2 0.005
232237 0.0872887 5991 m2 0.0035
233123 -0.10327 5978 m2 0.008
234716 -0.0973042 6000 m2 0.0005
235172 0.192427 5990 m2 0.002
236645 -0.0309268 5999 m2 0.0005
236845 0.0576925 5714 m2 0.046
237639 0.0778284 3445 m2 0.069
237951 -0.111584 4642 m2 0.052
238010 0.0173688 4238 m2 0.156
239929 -0.00302367 5573 m2 0.0885
240272 -0.0299163 5999 m2 0.0015
240855 0.0699902 5913 m2 0.0025
241144 -0.127157 5978 m2 0.0325
241881 0.067072 5536 m2 0.013
243829 -0.192982 4 m2 0.6555
244307 0.00647795 5965 m2 0.0055
244621 -0.0295573 5938 m2 0.0395
247038 0.167187 5987 m2 0.0005
247142 -0.108016 4506 m2 0.2355
300793 -0.0701527 6000 m2 0.0005
301380 -0.0986066 5998 m2 0.001
301536 -0.146139 5946 m2 0.0335
305588 0.177524 5953 m2 0.0005
305848 -0.0621019 5945 m2 0.001
306095 0.0858282 4251 m2 0.3745
306643 0.0886381 5975 m2 0.0015
308307 0.0153611 5881 m2 0.002
309092 -0.161161 5933 m2 0.003
310113 0.0951958 5486 m2 0.0185
310872 -0.107092 5999 m2 0.0005
313193 -0.101568 5795 m2 0.0925
315806 0.0613763 6000 m2 0.0005
316254 -0.0550526 5888 m2 0.0175
317705 -0.00990087 5181 m2 0.248
319003 -0.0203423 5260 m2 0.188
319511 0.0777324 5647 m2 0.1095
321873 -0.0796007 5937 m2 0.0245
323851 0.0781754 5995 m2 0.001
327422 0.142789 5977 m2 0.0115
327864 0.0645369 5892 m2 0.04
330230 0.00238014 5645 m2 0.058
330673 -0.0579438 5218 m2 0.2355
330774 -0.081823 5544 m2 0.2365
330862 0.0175254 3332 m2 0.6305
334333 0.111998 5927 m2 0.037
335625 0.0478288 2875 m2 0.3765
337673 0.106674 4935 m2 0.1325
337844 -0.24907 5995 m2 0.001
340101 0.0118659 5949 m2 0.0035
345292 -0.0511141 5227 m2 0.184
346107 -0.0770645 5762 m2 0.0605
347158 -0.0363317 5994 m2 0.002
347504 -0.0847504 4037 m2 0.585
348767 -0.1171 5941 m2 0.0225
349189 0.00654505 5722 m2 0.0075

