position selCoef originGen type freq
2085 0.107774 3378 m2 0.6235
2979 -0.0853459 4199 m2 0.978
3390 0.0425661 5998 m2 0.0025
3722 0.057312 5984 m2 0.0015
4889 0.0683323 5953 m2 0.0165
5578 0.0892429 5508 m2 0.0175
7469 -0.0694688 5303 m2 0.4665
8348 -0.174576 5806 m2 0.0465
10755 0.0612756 5243 m2 0.2905
11525 -0.072005 5663 m2 0.057
26184 0.0101237 5235 m2 0.075
26873 -0.0258535 5902 m2 0.0205
30577 -0.0541456 5056 m2 0.092
31155 0.0473801 5993 m2 0.0015
31235 0.17961 4749 m2 0.0035
32830 -0.00399624 5982 m2 0.006
36063 0.0335163 5978 m2 0.014
37231 0.00377079 5937 m2 0.028
39697 0.0795208 5940 m2 0.006
39791 0.0310933 5991 m2 0.0015
40576 0.0702234 5990 m2 0.007
40653 0.144841 5992 m2 0.0005
40895 -0.185688 6000 m2 0.0005
42513 0.0442884 5782 m2 0.0145
42637 0.0123152 4942 m2 0.288
43042 0.075769 5998 m2 0.0035
45634 0.0487089 5999 m2 0.0005
47879 -0.0330888 5906 m2 0.0155
103127 -0.085185 5803 m2 0.0195
103965 0.0235158 5997 m2 0.0015
104011 0.185496 5915 m2 0.0245
105156 -0.112831 5932 m2 0.004
105277 -0.159784 5999 m2 0.0005
106184 0.106048 5987 m2 0.002
106618 -0.362175 5997 m2 0.0005
107256 -0.0995034 6000 m2 0.0005
107937 0.0661875 5998 m2 0.001
109522 -0.0526487 6000 m2 0.0005
110124 -0.0404365 5989 m2 0.0015
110782 -0.133725 5642 m2 0.048
111789 0.137577 5603 m2 0.192
111926 -0.0181929 6000 m2 0.0005
112914 0.110905 5976 m2 0.0095
113075 -0.0562198 5885 m2 0.0905
114117 0.0148572 5997 m2 0.001
114714 0.0517991 5908 m2 0.0285
114764 -0.127081 5998 m2 0.0005
117201 0.166895 5995 m2 0.0005
120060 0.0607196 5936 m2 0.011
121209 -0.0933852 5866 m2 0.0655
121682 0.116649 1574 m2 0.1825
122205 -0.0968949 5950 m2 0.0005
122505 -0.0193776 5994 m2 0.0025
122519 0.0739654 5019 m2 0.0025
129275 0.138204 5016 m2 0.0265
129795 -0.197128 5990 m2 0.0065
130090 0.124095 6000 m2 0.0005
130354 0.109305 5486 m2 0.0175
134227 0.0656768 5751 m2 0.1255
135511 0.0927208 5937 m2 0.015
136037 0.0177275 5930 m2 0.003
136347 0.00474509 5985 m2 0.0045
138664 0.178309 6000 m2 0.0005
139489 0.0716623 5853 m2 0.025
142494 0.0637704 5510 m2 0.018
142501 0.0980463 5995 m2 0.006
144812 0.117728 5904 m2 0.0465
144814 -0.0880819 5803 m2 0.012
144904 -0.106543 5709 m2 0.041
148163 -0.0844844 5993 m2 0.006
148249 -0.143693 5664 m2 0.19
149018 -0.0774747 5990 m2 0.001
149762 0.0834506 5999 m2 0.001
200144 0.0807161 5789 m2 0.005
201225 -0.011005 5745 m2 0.0055
201391 -0.0344534 5986 m2 0.007
202473 0.132164 4150 m2 0.7275
207946 -0.0882687 5805 m2 0.0285
209231 0.0377049 5932 m2 0.024
210113 0.135794 5992 m2 0.0095
211112 -0.153921 6000 m2 0.0005
214464 0.0580549 5993 m2 0.0025
215287 8.42465e-05 5997 m2 0.0005
219374 -0.136377 5997 m2 0.003
219436 0.0432651 4474 m2 0.066
220838 -0.0965497 5934 m2 0.034
222549 -0.0786238 5982 m2 0.0035
224496 -0.00124862 2182 m2 0.3295
224665 0.00651826 5682 m2 0.071
225094 0.0102829 3181 m2 0.058
225404 0.0528871 5961 m2 0.0255
226124 -0.0289438 424 m2 0.0665
226553 -0.0458154 5945 m2 0.0555
227986 0.0183003 5993 m2 0.002
